"Articulo","Nombre","Bulto","Sabores","Imagen","Stock"
"1049","ACEITUNAS VERDES X 1/2 KG Nº 00","6","","https://drive.google.com/file/d/1xQum6K1Y6_d4pTL6TDoxM-7yFwDqPcub/view","4"
"1052","MANTELITOS ARTESANALES (POLIÉSTER)","","","","2"
"1053","MERKEN CHILENO X KG","","","","2"
"1054","ESENCIA DE PAN DULCE 60 cc","","","","0"
"1055","ESENCIA DE AGUA DE AZAHAR 60 cc","","","","2"
"1060","HARINA DE ALMENDRAS C/PIEL","","","","7"
"1061","LENTEJA DE CHOCOLATE XKG","","","","4"
"1062","MANGO EN TROZOS CONGELADOS  XKG","","","","0"
"1063","SELENIO QUELADO ""NATIER"" X 50 CAP","","","","2"
"1067","ADEREZO  DE PICKLES X 200 GR.","6","","https://drive.google.com/file/d/1j4IFEGf_nmwwsybSEWHU_dn4b6xSip6d/view","1"
"1068","ADOBO PARA PIZZA X KG.","5","","https://drive.google.com/file/d/1Hpa-w2m8Vn_sBVxKa532gmJKiEyFaz3B/view","0"
"1070","ALOE VERA JUGO X 500 ML"" NATIER""","","","","2"
"1071","BLEND DE TE X 30g","","","","6"
"1072","TOFU SOYANA ORGÁNICO 350 g","","","","0"
"1073","BOMBITA DEFUMACION X 4 uni. - SAGRADA MADRE","","","","13"
"1074","SAHUMERIOS CON PORTASAHUMERIO AROMANZA","","","","6"
"1078","PREMEZCLA BIZCOCHUELO ""DELICEL"" X500GR SIN TACC","","","","9"
"1079","AJI MOLIDO FINO X KG.","10","","https://drive.google.com/file/d/198MWrKl_mMZ6ML255667bHX9yqNLsuFk/view","2"
"1080","NAD+RESVERATROL X 60 cápsulas ""EL NATURALISTA""","","","","7"
"1082","AJIES DULCES X 110 GR","","","https://drive.google.com/file/d/1Hh_VZ2mQ0b63SscIg2o80_RROEm8xZFV/view","1"
"1091","ACIDO ASCÓRBICO X KG","","","","0"
"1092","TILO EN HOJAS","","","","0"
"1093","POLVO  PARA HORNEAR X KG","","","","13"
"1094","SPIRULINA CONCENTRADA NATIER x 50 cápsulas","","","","0"
"1096","CARQUEJA TINTURA MADRE  ""EL NATURALISTA""","","","","1"
"1097","ACEITE PURO DE RICINO ""EL NATURALISTA""","","","","2"
"1099","ALBAHACA EN HOJAS X KG","","","https://drive.google.com/file/d/1Y5V26NL92wMotUp_Jgag0SMOWwtKpu34/view","4"
"1100","ALCAPARRAS X 100 GR","","","https://drive.google.com/file/d/12kY3S9biElu2bu313qqt2eWDyQif3s38/view","0"
"1109","VINAGRE  DE SIDRA DE MANZANA ""VERDE VIDA"" X 500 ML","","","","6"
"1112","TRIGO SARRACENO PELADO X KG","","","","1"
"1113","ALMIDON DE MAIZ X KG","10","","https://drive.google.com/file/d/1-lmyboOmcA-wBKl-rgFLhLr_HUIjgD2a/view","7"
"1114","ALMOHADITAS 2 SALVADO X KG.","","","https://drive.google.com/file/d/1tWKPU9lnGg_x3xO5qKoe1Xe1Yoj0Qzby/view","16"
"1115","ALMOHADITAS CHOCOLATE X KG.","","","https://drive.google.com/file/d/1WtjiyZpSTUeVK4OcYc1z6_cZs3ZOjiHQ/view","0"
"1116","MELISA TINTURA MADRE X 60 CC","","","","0"
"1117","ALMOHADITAS FRUTILLA X KG.","","","https://drive.google.com/file/d/1yZdc6EAeBDlf895N0uizyQGemJi7ivZ-/view","5"
"1118","ALMOHADITAS LIMON X KG.","","","https://drive.google.com/file/d/1M76YRVivSWU1mROLRo7d1MfwQg3ypEI6/view","3"
"1119","PASIONARIA TINTURA MADRE X 6O CC","","","","3"
"1120","VALERIANA TINTURA MADRE X 60 CC","","","","3"
"1121","ANILLOS DE AVENA Y MIEL X KG.","","","https://drive.google.com/file/d/1ypkgGfypNVXdAyhu3e_tctFL_pvRh2ih/view","2"
"1122","ANILLOS FRUTADOS X KG.","","","https://drive.google.com/file/d/1Ud1G3_GTKzOJlgQUuWIsDS8gW8W7uN1n/view","2"
"1123","ANIS EN GRANO X KG.","","","https://drive.google.com/file/d/10Rj5SFRP2MBT2ivj_t8FM0I3xKYEw_G7/view","1"
"1124","ANIS ESTRELLADO X KG.","","","https://drive.google.com/file/d/110BKpRZCGMZVqRQ1US6pEtFzah0Jqd00/view","4"
"1125","MELENA DE LEON EXTRACTO 60cc ""SOMOS SETA""","","","","1"
"1126","CAFE BRASIL BB X 250","","","","6"
"1127","ARANDANOS DESHIDRATADOS X KG","","","https://drive.google.com/file/d/1-3hEiQdp5-wSKlvvcymYZu1DU6SVODsx/view","3"
"1128","CAFE DESCAFEINADO EXOTIC COLOMBIA BB X250","","","","2"
"1129","ARROPE DE CHAÑAR X 600 GR","","","https://drive.google.com/file/d/1Yc780U_gZC-cewfwA6xM2gHW-mGLIeme/view","2"
"1130","ARROPE DE TUNA X 600 GR","","","https://drive.google.com/file/d/1QpsuR12cFn9MTFbww53gb08i1_BR6UW2/view","3"
"1131","ARROZ INTEGRAL X KG.","","","https://drive.google.com/file/d/1D0a6R-nMl1uqcA7C-NRbVVYys29ljg5_/view","2"
"1132","ACEITE DE LINO X 250 cc ""NUTRA SEM""","","","","0"
"1133","ARROZ YAMANI X KG.","","","https://drive.google.com/file/d/1RiePI2Fs0zkEbnaZzjQuI19i3uJtcxQn/view","13"
"1137","AVENA TRADICIONAL X KG.","","","https://drive.google.com/file/d/1Wrrzd3hO2ew6ry9B0tZ9rpmtMPzYcWhv/view","2"
"1140","AZUCAR IMPALPABLE X KG.","","","https://drive.google.com/file/d/1A0qdFEmUs_jNrUES8ccOmdecshqTJqma/view","1"
"1142","AZUCAR NEGRA X KG.","","","https://drive.google.com/file/d/14zx8vpTVr0QajXK3Sfe-E-SEb5X-EwMD/view","2"
"1145","DIFUSOR ""ILUMINARTE"" X 125 ml","","","","12"
"1146","PROPOLEO SPRAY 30 cc ""EL NATURALISTA""","","","","3"
"1147","BASTONCITO SALVADO TRIGO Y AVENA X KG.","","","https://drive.google.com/file/d/19pulxRbH7xL56FagImtf_tiyKI4iPlvm/view","4"
"1150","BERENJENAS CONDIM.X 200 GR","","","https://drive.google.com/file/d/1vivsZ1XVLxnKOoE4npMrRJpz-VKziFom/view","12"
"1153","GOMA XANTICA","","","","0"
"1155","BOLITAS DE CHOCOLATE X KG.","","","https://drive.google.com/file/d/1Q56-RkzQo7pP8geqUZ-AGVchPl4ItYdr/view","2"
"1156","ASHWAGANDHA X 60 CC ""SOMOS SETA""","","","","1"
"1157","REISHI X 60 CC ""SOMOS SETA""","","","","1"
"1158","PSYLLIUM SEMILLA X KG","","","","3"
"1159","MASTROENI CABERNET FRANC X 750 CC ","","","https://drive.google.com/file/d/1QlRm65Rw6haghtKgU53VelBb7XzCtAXl/view","1"
"1160","ACETO BALSAMICO MILLAN X 250 cc","","","","7"
"1163","CACAO AMARGO DE BRASIL X KG.","","","https://drive.google.com/file/d/19jMlGqwqxZcMIC8f7D5QAQIHX8we9RiH/view","19"
"1164","PSYLLIUM MOLIDO X KG","","","","2"
"1165","PALO SANTO X30GR","","","","2"
"1169","PRENSA FRANCESA 800 ml","","","","0"
"1176","CARDAMOMO X KG.","","","https://drive.google.com/file/d/1gBK5oIsBtJbQv88srpZ6DZct7McJdEX7/view","5"
"1177","MASTROENI CASA DE BARRO X 5 L","","","https://drive.google.com/file/d/1rq_Xw0VVrk9-FvNDtPXN0vatdKvJpE7J/view","1"
"1179","MERMELADA FRUTOS ROJOS CON STEVIA ""DOÑA MAGDALENA""","","","","2"
"1181","TAZA VIDRIO","","","","6"
"1183","SYRUP DE DATILES ""LYNA""","","","","3"
"1184","PASAS DE UVA CEREZA CON SEMILLA X KG","","","","7"
"1185","CEBOLLITAS EN VINAGRE X 330 GR","","","https://drive.google.com/file/d/1mfqmzHF8EdLPlM2mrwP5hP9yFkQv3jrN/view","7"
"1186","CEREZA GLASEADA X KG","","","https://drive.google.com/file/d/1uHDLHSC6FWxCOCoC_K3kqDgLnbVptYGS/view","1"
"1187","MIXTURAS","","","","2"
"1188","CEREZAS AL MARRASCHINO X 170 g ""AGROIANNI""","","","https://drive.google.com/file/d/11j2OvzMbXf8HlUc_LepoKfIJ2zhgrqpZ/view","0"
"1189","HIGOS EN ALMIBAR X 3,8 KG","","","","0"
"1191","LA IRIDE CHAMP EXTRA BRUT X 750 cc","","","","2"
"1199","BANANITAS CON CHOCO","","","","2"
"1201","CHIMICHURRI X KG.","","","https://drive.google.com/file/d/1lqMuR5X-im_1fuC3d_k4-z-qmpWLDcBe/view","5"
"1202","CHIPS DE BANANA X KG","","","https://drive.google.com/file/d/1tHz0CPQn94o34AE_oymNrsxf_gCoDDya/view","10"
"1203","KOMBUCHA  EYWA 354 ml","","","","5"
"1204","CHUCRUT X 600 GR","","","https://drive.google.com/file/d/1BLQaKI6BCeVw_78YR0DcVZBQUMm9HoVK/view","1"
"1207","CIRUELAS D`AGEN C/CAROZO X KG","","","https://drive.google.com/file/d/19xXY0pEbQvvg7sMKeDGhGmMqLaZFYnFA/view","0"
"1208","CIRUELAS TIERNIZADAS S/C X KG","","","https://drive.google.com/file/d/1UaJqE6bpmw1tzb1xHxIzodRhMBZsqcHV/view","1"
"1209","CLAVO DE OLOR ENTERO X KG.","","","https://drive.google.com/file/d/10AZzo5zHczh5mib2nk55TMhenrY2W-7G/view","2"
"1210","HIBISCUS EXTRACTO 60 cc ""SOMOS SETAS""","","","","2"
"1211","COCO EN ESCAMAS X KG","","","https://drive.google.com/file/d/13yWZQOqu5ijl1s3GTfAvjgy0utjCmGfq/view","1"
"1212","COCO RALLADO X KG.","","","https://drive.google.com/file/d/11d9JIijSF4dXlpzMgEpFLAulVjL2LUCH/view","1"
"1213","COLA DE PAVO EXTRACTO 60 cc ""SOMOS SETAS""","","","","1"
"1214","COMINO MOLIDO X KG.","","","https://drive.google.com/file/d/14ga-yNjWExhPg_zBqPYRP8U20XTaTPA6/view","0"
"1215","PASTA ACEITUNAS CONDIM. 200 g","","","","6"
"1216","RHODIOLA ROSEA POLVO ""SOMOS SETAS""","","","","1"
"1217","MERMELADA MQA ZANAHORIA/NARANJA X310GR","","","","4"
"1220","MOSTAZA CON MIEL ORGANICA 190gr","","","","0"
"1221","MOSTAZA DIJON 170gr","","","","0"
"1222","MAITAKE ""SOMOS SETAS"" X60cap","","","","0"
"1223","RHODIOLA X60 CAPSULAS ""SOMOS SETAS""","","","","0"
"1224","RHODIOLA ROSEA EXTRACTO X60cc ""SOMOS SETAS""","","","","1"
"1225","VITAMINA K2 + D3 X 50 cápsulas ""NATIER""","","","","0"
"1226","POTASIO+MAGNESIO 30cap ""El Naturalista""","","","","13"
"1227","CITRATO DE MAGNESIO  XKG","","","","2"
"1228","COPOS DE MAIZ C/AZUCAR X KG","","","https://drive.google.com/file/d/1L5n634OGcpybf7dAGm0hTnbx3y-OXPZC/view","33"
"1229","COPOS DE MAIZ X KG.","","","https://drive.google.com/file/d/1P4UdCh-pg94nJfhD1wCBCNyniZMLzkwi/view","0"
"1230","CORAZONES DE ALCAUCIL X 300 GR","","","https://drive.google.com/file/d/12iWmYR5tCjRa5eN67cw2k6eeW3AJPk_D/view","0"
"1231","CORDERO CON PIEL DEL LOBO X 750CC","","","https://drive.google.com/file/d/1Zgk69yPQ_d9hJI0W7BEhIP_EENMk5sDx/view","5"
"1232","CHIPS DE BATATA ""SIN TACC"" - BOUTIQUE CHIPS","","","","4"
"1233","MANTECA CLARIFICADA GHEE X 150 g - COW'S PURE","","","","5"
"1234","PREMEZCLA SIN TACC UNIVERSAL PANADERIA REPOSTERÍA Y PASTAS X 500 g - DELICEL","","","","9"
"1237","ACEITE PURO DE ARNICA X50cc","","","","2"
"1238","TREMELLA EN CAPSULAS ""SOMOS SETAS""","","","","1"
"1239","CURRY X KG","","","https://drive.google.com/file/d/1jA1Da9nsYkxqb064qN-deDqSVofYK_sN/view","0"
"1240","CUSCUS X KG","","","https://drive.google.com/file/d/1sPguZghZaRYhB3z_t6QWeUhnHI7gXNMp/view","5"
"1241","BARRA CHOCOLATE MAPRICUBER xKg","","","","0"
"1244","DULCE DE ALCAYOTA X 500 GR","","","https://drive.google.com/file/d/1hAmK_w0nFlj5twyDbbKKPHfwotPTyCIb/view","1"
"1245","ACEITERO SPRAY X 100 ML","","","","1"
"1246","SALSA INGLESA x180cc","","","","2"
"1247","PROPOLEO PLUS+CURCUMA,JENGIBRE Y TOMILLO 250ml","","","","2"
"1248","MAGNESIO EN POLVO NATIER X150g","","","","2"
"1249","NMN nicotinamida mononucleotido","","","","1"
"1250","SHITAKE X 60 CAPS. SOMOS SETAS","","","","0"
"1251","COLA DE PAVO x 60 CAPS SOMOS SETA","","","","0"
"1252","MAIZ PSINGALLO","","","","1"
"1253","DULCE DE MEMBRILLO X 500 GR","","","https://drive.google.com/file/d/1M2tosfDbag8ZAAwyKx1kbQfsiw7okEBi/view","0"
"1254","DULCE DE MEMBRILLO X 1 KG","","","https://drive.google.com/file/d/1wGO4YqplgiTtHKaJMhkW5-eC8h6xoc-1/view","6"
"1255","DULCE DE MEMBRILLO X 5 KG","","","https://drive.google.com/file/d/18drVT084LD8IWwBZBA1ckFJY3iiZpvka/view","3"
"1256","COLAGENO X 10 COMPRIMIDOS ""EL NATURALISTA""","","","","6"
"1257","VITAMINA C X 60 COMPRIMIDOS ""EL NATURALISTA""","","","","1"
"1258","AVENA BIO SIN GLUTEN 500gr","","","","5"
"1259","ENELDO SEMILLAS X KG","","","https://drive.google.com/file/d/1sq5b7TNau_jq6mH5KVC7MCcelnmq09uL/view","1"
"1260","DULCE BATATA SIN AZUCAR ORIETA 400GR","","","","3"
"1261","DULCE MEMBRILLO SIN AZUCAR ORIETA 400gr","","","","3"
"1262","ALFAJOR SIN AZUCAR ""BANDA""","","","","0"
"1263","ESENCIA ARTIFICIAL DE VAINILLA X 100 CC ""INDIAS"" ","","","https://drive.google.com/file/d/19bIyRbLXWdeAbAWXd48C-5h7_3Batcai/view","4"
"1264","ESPARRAGOS X 250 GR","","","https://drive.google.com/file/d/1MMKPiSQ6eUd3OsrGLPHAtSM65RCBam3x/view","0"
