"Articulo","Nombre","Bulto","Sabores","Imagen","Stock"
"519","GARRAPIÑADA DE MANI X KG","","","","2"
"520","MAIZ FRITO SALADO X KG","","","","4"
"521","MANI JAPONES","","","","8"
"523","MANI TOSTADO SALADO X KG","","","","11"
"524","MANI TOSTADO X KG.","","","","3"
"525","MIX CERVECERO X KG","","","","8"
"528","MIX SALADO X KG","","","","1"
"531","TOMATE TRITURADO X 1 KG","","","","20"
"532","TOMATE TRITURADO X 500 GR","","","","19"
"533","TOMATE CONDIM X 1 KG","","","","11"
"554","YOGURT PROTEICO ""YOGURLAC"" X 1L","","","","1"
"555","PETALOS DE ROSA XKG","","","","0"
"560","LAS PERDICES CAB SAUV X 750","","","","0"
"561","MASTROENI CABERNET FRANC X 750 CC","","","","4"
"567","LAS PERDICES EXTRA BRUT CORTO X 750","","","","0"
"569","LAS PERDICES PARTRIDGE CHARDONNAY X 750","","","","0"
"570","LAS PERDICES RESERVA CHARDONNAY X 750","","","","0"
"572","MASTROENI ESP DULCE NATURAL X 750 CC","","","","0"
"592","CORDERO CON PIEL DEL LOBO X 750CC","","","","0"
"593","LAS PERDICES MALBEC X 750","","","","6"
"594","LAS PERDICES PARTRIDGE MALBEC X 750","","","","0"
"595","LAS PERDICES RESERVA MALBEC X 750","","","","0"
"613","PERRO CALLEJERO MALBEC X 750CC","","","","6"
"616","LAS PERDICES SAUVI BLANC X 750","","","","6"
"622","LAS PERDICES ALA COLORADA ANCELLOTA X 750","","","","0"
"633","VARIOS","","","","201"
"637","ACEITE DE OLIVA  X 500 CC LAUR","","","","7"
"638","DELANTAL LINO","","","","3"
"640","LAS PERDICES BRUT ROSÉ X750ml","","","","5"
"641","HIBISCUS  FLOR X KG","","","","6"
"643","TE NEGRO X KG","","","","2"
"644","NUEZ MARIPOSA EXTRA LIGHT X KG","","","","8"
"661","FIDEOS DE ARROZ ""PARTY BECK"" X 280GR","","","","2"
"665","NUEZ CON CASCARA X KG","","","","10"
"669","SALSA SOJA X 1 L","","","","2"
"670","MANI SABORIZADO X KG","","","","7"
"684","YOGHURT ANANA X 1 L","","","","2"
"690","JENGIBRE EN TROZOS XKG","","","","0"
"691","ALMENDRA GUARA  X KG","","","","0"
"702","ACEITE DE OLIVA   900ML VERDE OLIVA","","","","20"
"703","GALLETAS CACHAFAS ORGANICAS","","","","11"
"705","GRANOLA MIX SIN PASAS X KG","","","","9"
"706","LA IRIDE ""HUELGA DE AMORES"" X 750ml","","","","0"
"711","PROSTASANA X 30 COMPR. ""EL NATURALISTA""","","","","8"
"712","MERMELADA MQA X 310","","","","9"
"713","MERMELADA MQA FRUTILLA X 310","","","","0"
"716","MAYONESA ""MAYOV"" X 270GR","","","","5"
"719","ACEITE DE OLIVA  3 L VERDE OLIVA","","","","1"
"720","ACEITE DE OLIVA  5 L VERDE OLIVA","","","","1"
"722","GRANOLA TRADICIONAL X KG","","","","4"
"723","GRANOLA CON CHOCO X KG","","","","4"
"725","FRUTA MULTICOLOR X KG","","","","3"
"726","PASAS MOROCHAS SIN SEMILLA X KG","","","","9"
"728","NUECES CONFITADAS X 100 g","","","","4"
"729","ALMENDRAS TOSTADA CON ACEITE DE OLIVA Y SAL","","","","0"
"737","MIX CITRICOS","","","","0"
"751","ALMENDRAS CON CHOCO xKG","","","","5"
"752","ARANDANOS CON CHOCO xKG","","","","3"
"753","BARRA CHOCO 70% CON STEVIA x 100 g - COLONIAL","","","","9"
"754","BARRA CHOCO SIN AZUCAR x 100 g - COLONIAL","","","","30"
"756","ACEITERO SPRAY x 200 ml","","","","10"
"757","GOTITAS DE CHOCO SEMIAMARGO X KG","","","","5"
"758","MANI C/CHOCO SEMIAMARGO XKG","","","","4"
"759","PASAS DE UVA C/CHOCO XKG","","","","2"
"760","AVELLANAS CON CHOCO XKG","","","","4"
"761","MOLINILLO CAFE MANUAL","","","","4"
"762","INFUSOR PINZA","","","","6"
"764","BARRA MUECAS X45GR","","","","15"
"774","YOGHURT C/FRUTAS X 160","","","","3"
"777","ALFAJORES MAICENA SIN TACC X 6 unidades","","","","7"
"781","COLAGENO HIDROLIZADO X KG ""PEPTAN B 2000 LD""","","","","3"
"782","EUCALIPTUS X KG","","","","2"
"783","YERBA DEL PLATERO","","","","2"
"785","TE DE BURRO X KG","","","","1"
"786","SEN FOLICULOS X KG","","","","0"
"787","LAVANDA X KG","","","","0"
"788","CEDRON X KG","","","","1"
"789","MELISA  X KG","","","","1"
"790","MENTA HOJAS X KG","","","","1"
"791","HARINA TRIGO SARRACENO X KG","","","","3"
"793","YERBA MATE DESPALADA KALENA X KG","","","","13"
"794","ALOE VERA JUGO X 250 ML ""NATIER""","","","","2"
"798","PRESTAMO","","","","115"
"799","TE VERDE X KG","","","","2"
"800","COLAGENO HIDROLIZADO CAPSULA X 50 CÁPSULAS ""NATIER""","","","","2"
"801","RESVERATROL X 50 CÁPSULAS ""NATIER""","","","","2"
"802","CURCUMA+PIMIENTA X 50 CÁPSULAS ""NATIER""","","","","0"
"803","VINAGRE DE SIDRA DE MANZANA X 50 CÁPSULAS ""NATIER""","","","","5"
"804","VITAMINA C  X 50 CÁPSULAS ""NATIER""","","","","4"
"805","AJO NEGRO X 50 CÁPSULAS ""NATIER""","","","","1"
"807","MAGNESIO X 50 CÁPSULAS ""NATIER""","","","","6"
"808","MEDALLONES VEGETARIANOS ""KISLEV""","","","","12"
"814","SAHUMO LIMPIEZA ENERGENTICA ""SAGRADA MADRE""","","","","3"
"815","SAHUMERIO MOMENTOS X5 ""AROMANZA""","","","","30"
"816","SAHUMERIO TIBETANO X8 ""AROMANZA""","","","","32"
"820","SAHUMEADOR GRANDE COLOR","","","","2"
"821","SAHUMEADOR CHICO CEMENTO","","","","3"
"822","DIENTE DE LEON XKG","","","","0"
"823","ASHWAGANDHA X 60 CAPSULAS ""SOMOS SETA""","","","","4"
"824","BARRAS ""CRUDDA""  X40Gr - SIN TACC","","","","21"
"826","CITRATO DE MAGNESIO ""EL  NATURALISTA""","","","","8"
"827","CITRATO DE POTASIO ""EL NATURALISTA""","","","","5"
"828","GLICINATO DE MAGNESIO ""EL NATURALISA""","","","","8"
"829","ZINC ""EL NATURALISTA""","","","","7"
"830","CARDOMARIANO x 30 cápsulas ""EL NATURALISTA""","","","","7"
"831","SPIRULINA X 10 COMP. ""EL NATURALISTA""","","","","7"
