"nombre","cantidades","info","sabores","imagen","mix","Artículo","Estado","Stock"
"MIEL DE ABEJA X 1 kg ""MONTE NATURAL"" - JALEA","1 UNIDAD","","","","","205","🟢 ok","2"
"MIEL DE ABEJA X 250 g ""MONTE NATURAL"" - JALEA","1 UNIDAD","","","","","206","🟢 ok","13"
"MIEL DE ABEJA X 500 g ""MONTE NATURAL"" - JALEA","1 UNIDAD","","","","","207","🟢 ok","14"
"AJIES DULCES X 110 GR","1 UNIDAD","","","","","215","🟢 ok","2"
"AJIES PICANTES X 110 GR","1 UNIDAD","","","","","217","🟢 ok","4"
"ALCAPARRAS X 100 GR","1 UNIDAD","","","","","218","🟢 ok","3"
"CHUCRUT X 600 GR","1 UNIDAD","","","","","219","🟢 ok","6"
"CORAZON DE  ALCAUCIL CONDIM X 330 GR","1 UNIDAD","","","","","221","🟢 ok","0"
"BERENJENAS CONDIM.X 200 GR","1 UNIDAD","","","","","223","🟢 ok","2"
"CORAZONES DE ALCAUCIL X 300 GR","1 UNIDAD","","","","","226","🟢 ok","6"
"PEPINILLOS EN VIN. X 200 GR","1 UNIDAD","","","","","227","🟢 ok","3"
"PEPINOS AGRID X 200 GR","1 UNIDAD","","","","","230","🟢 ok","0"
"PICKLES MIXTOS X 200 GR","1 UNIDAD","","","","","235","🟢 ok","8"
"PIMIENTOS ENTEROS X 200 GR","1 UNIDAD","","","","","237","🟢 ok","4"
"POROTOS CONDIM X 200 GR","1 UNIDAD","","","","","239","🟢 ok","2"
"ADOBO PARA PIZZA X KG.","1 UNIDAD","","","","","242","🟢 ok","0"
"NUEZ MOSCADA ENTERA X KG","1 UNIDAD","","","","","243","🟢 ok","0"
"AJI MOLIDO FINO X KG.","1 UNIDAD","","","","","244","🟢 ok","2"
"AJO EN POLVO","1 UNIDAD","","","","","245","🟢 ok","4"
"AJO GRANULADO X KG.","1 UNIDAD","","","","","246","🟢 ok","0"
"ALBAHACA EN HOJAS X KG","1 UNIDAD","","","","","247","🟢 ok","1"
"ANIS EN GRANO X KG.","1 UNIDAD","","","","","248","🟢 ok","0"
"ANIS ESTRELLADO X KG.","1 UNIDAD","","","","","249","🟢 ok","2"
"AZAFRAN ESPAÑOL X CAPSULA.","1 UNIDAD","","","","","250","🟢 ok","1"
"CANELA EN RAMA X KG","1 UNIDAD","","","","","251","🟢 ok","1"
"CANELA MOLIDA X KG.","1 UNIDAD","","","","","252","🟢 ok","3"
"CARDAMOMO X KG.","1 UNIDAD","","","","","253","🟢 ok","0"
"CEBOLLA EN ESCAMAS X KG.","1 UNIDAD","","","","","254","🟢 ok","0"
"CHIMICHURRI X KG.","1 UNIDAD","","","","","256","🟢 ok","0"
"CLAVO DE OLOR ENTERO X KG.","1 UNIDAD","","","","","257","🟢 ok","1"
"COMINO MOLIDO X KG.","1 UNIDAD","","","","","258","🟢 ok","0"
"CONDIMENTO PARA ARROZ X KG","1 UNIDAD","","","","","262","🟢 ok","0"
"PESTO X KG","1 UNIDAD","","","","","263","🟢 ok","0"
"CORIANDRO ENTERO X KG.","1 UNIDAD","","","","","264","🟢 ok","0"
"CORIANDRO MOLIDO","1 UNIDAD","","","","","265","🟢 ok","0"
"CURCUMA MOLIDA X KG","1 UNIDAD","","","","","266","🟢 ok","2"
"CURRY X KG","1 UNIDAD","","","","","267","🟢 ok","1"
"BICARBONATO DE SODIO X 50 GR","1 UNIDAD","","","","","268","🟢 ok","0"
"MIX  4 PIMIENTAS","1 UNIDAD","","","","","269","🟢 ok","1"
"SAL MARINA FINA X 500 GR.","1 UNIDAD","","","","","270","🟢 ok","5"
"FINAS HIERBAS X KG.","1 UNIDAD","","","","","271","🟢 ok","0"
"NUEZ MOSCADA MOLIDA X KG.","1 UNIDAD","","","","","272","🟢 ok","0"
"GELATINA SIN SABOR X KG","1 UNIDAD","","","","","273","🟢 ok","4"
"SAL MARINA GRUESA X 500 GR","1 UNIDAD","","","","","274","🟢 ok","7"
"HONGOS SECOS X KG","1 UNIDAD","","","","","275","🟢 ok","0"
"JENGIBRE  MOLIDO X KG.","1 UNIDAD","","","","","277","🟢 ok","1"
"JULIANA SIN PAPA X KG","1 UNIDAD","","","","","278","🟢 ok","0"
"LAUREL EN HOJAS X KG.","1 UNIDAD","","","","","279","🟢 ok","0"
"MACA EN POLVO X KG.","1 UNIDAD","","","","","280","🟢 ok","1"
"MOSTAZA EN GRANOS X KG","1 UNIDAD","","","","","282","🟢 ok","3"
"OREGANO  KG.","1 UNIDAD","","","","","285","🟢 ok","2"
"PEREJIL EN HOJAS X KG.","1 UNIDAD","","","","","286","🟢 ok","1"
"PIMENTON AHUMADO X KG","1 UNIDAD","","","","","287","🟢 ok","3"
"PIMENTON EXTRA X KG","1 UNIDAD","","","","","288","🟢 ok","4"
"PIMENTÓN PICANTE X KG","1 UNIDAD","","","","","289","🟢 ok","0"
"PIMIENTA BCA  EN GRANO X KG","1 UNIDAD","","","","","290","🟢 ok","1"
"PIMIENTA BCA MOLIDA X KG","1 UNIDAD","","","","","292","🟢 ok","0"
"PIMIENTA CAYENA MOLIDA X KG.","1 UNIDAD","","","","","293","🟢 ok","0"
"PIMIENTA NEGRA EN GRANO X KG.","1 UNIDAD","","","","","294","🟢 ok","2"
"PIMIENTA NEGRA MOLIDA X KG","1 UNIDAD","","","","","295","🟢 ok","3"
